label,mq60frac,mq60err,mq50frac,mq50err,mq00frac,mq00err
**Whole Drosophila melanogaster genome - minimap (n=25764)**,.,.,.,.,.,.
HPC,0.957 +0%,2.27e-03 +0%,**0.963 +0%**,2.34e-03 +0%,**0.998 +0%**,1.48e-02 +0%
raw,**0.958 +0%**,2.27e-03 -0%,0.962 -0%,2.34e-03 +0%,0.997 -0%,**1.17e-02 -21%**
MSR~F~,0.952 -1%,1.18e-03 -48%,0.960 -0%,1.37e-03 -41%,**0.998 +0%**,1.36e-02 -8%
MSR~E~,0.946 -1%,**0 -100%**,0.954 -1%,**0 -100%**,**0.998 +0%**,1.53e-02 +3%
MSR~P~,0.950 -1%,4.90e-04 -78%,0.957 -1%,8.11e-04 -65%,**0.998 -0%**,1.39e-02 -6%
**Whole Drosophila melanogaster genome - winnowmap (n=25764)**,.,.,.,.,.,.
HPC,0.923 +0%,1.51e-03 +0%,0.930 +0%,1.59e-03 +0%,0.989 +0%,1.50e-02 +0%
raw,**0.949 +3%**,1.92e-03 +27%,**0.954 +3%**,1.99e-03 +26%,**0.995 +1%**,**1.33e-02 -12%**
MSR~F~,0.918 -1%,**1.27e-03 -16%**,0.925 -0%,**1.30e-03 -18%**,0.987 -0%,1.37e-02 -9%
MSR~P~,0.905 -2%,1.33e-03 -12%,0.912 -2%,1.53e-03 -3%,0.983 -1%,1.40e-02 -7%
MSR~E~,0.905 -2%,1.42e-03 -6%,0.912 -2%,1.49e-03 -6%,0.983 -1%,1.44e-02 -4%
**Synthetic centromeric sequence - minimap (n=12673)**,.,.,.,.,.,.
HPC,0.870 +0%,**1.36e-03 +0%**,0.964 +0%,**1.56e-03 +0%**,**1.000 +0%**,9.00e-03 +0%
raw,**0.936 +8%**,1.86e-03 +36%,**0.984 +2%**,2.09e-03 +34%,**1.000 +0%**,**4.50e-03 -50%**
MSR~E~,0.885 +2%,3.39e-03 +149%,0.962 -0%,3.53e-03 +127%,**1.000 +0%**,1.20e-02 +33%
MSR~F~,0.850 -2%,2.04e-03 +50%,0.968 +0%,2.12e-03 +36%,**1.000 +0%**,6.63e-03 -26%
MSR~P~,0.898 +3%,1.58e-03 +16%,0.968 +0%,1.79e-03 +15%,**1.000 +0%**,9.78e-03 +9%
**Synthetic centromeric sequence - winnowmap (n=12673)**,.,.,.,.,.,.
HPC,0.775 +0%,**1.32e-03 +0%**,**0.822 +0%**,**1.82e-03 +0%**,0.997 +0%,8.37e-02 +0%
raw,**0.850 +10%**,2.04e-03 +54%,0.890 +8%,1.95e-03 +7%,**0.999 +0%**,**4.60e-02 -45%**
MSR~E~,0.795 +2%,2.28e-03 +73%,0.846 +3%,2.52e-03 +38%,0.997 -0%,6.96e-02 -17%
MSR~F~,0.820 +6%,1.83e-03 +38%,0.867 +6%,2.27e-03 +25%,0.997 -0%,5.97e-02 -29%
MSR~P~,0.780 +1%,1.62e-03 +22%,0.829 +1%,2.09e-03 +15%,0.997 -0%,8.65e-02 +3%
**Whole human genome - minimap (n=655594)**,.,.,.,.,.,.
HPC,**0.935 +0%**,1.85e-03 +0%,**0.942 +0%**,1.85e-03 +0%,**1.000 +0%**,1.46e-02 +0%
raw,0.921 -1%,1.86e-03 +0%,0.927 -2%,1.86e-03 +1%,0.998 -0%,**1.29e-02 -11%**
MSR~E~,0.926 -1%,**6.92e-05 -96%**,0.936 -1%,**1.17e-04 -94%**,0.999 -0%,1.76e-02 +20%
MSR~P~,0.929 -1%,2.20e-04 -88%,0.938 -0%,4.15e-04 -78%,0.999 -0%,1.55e-02 +6%
